Qty to build:,20,,,,,,,,,,,,
Revision:,1,,,,,,,,,,,,
Quantity,Designator,Description,Value,Manufacturer,Part Number,Distributor,Distributor Part #,Incl. In Kit,Need for Build,Qty. To Return,Comments, Unit Price ,Build price
20,"C3, C6, C9, C10, C11, C12, C13, C14, C20, C22, C24, C25, C26, C27, C28, C29, C36, C37, C39, C40",CAP CER 0.1UF 16V 10% X7R 0402,0.1uF,Murata,GRM155R71C104KA88D,Digi-Key,490-3261-1-ND,N/A,400,N/A,, $0.00632 , $0.13 
2,"C31, C34",CAP CER 10000PF 25V 10% X8R 0402,10nF,TDK,C1005X8R1E103K050BA,Digi-Key,445-2494-1-ND,N/A,40,N/A,, $0.12400 , $2.48 
2,"C18, C19",CAP CER 10PF 50V 5% NPO 0402,10pF,Yageo,CC0402JRNPO9BN100,Digi-Key,311-1014-2-ND,N/A,40,N/A,, $0.00920 , $0.18 
8,"R8, R11, R12, R15, R17, R21, R22, R25",RES 15K OHM 1/10W 1% 0402 SMD,15k,Panasonic,ERJ-2RKF1502X,Digi-Key,P15.0KLCT-ND,N/A,160,N/A,, $0.01840 , $0.37 
5,"R1, R29, R30, R31, R32",RES 1K OHM 1/10W 5% 0402 SMD,1k,Panasonic,ERJ-2GEJ102X,Digi-Key,P1.0KJCT-ND,N/A,100,N/A,, $0.01310 , $0.26 
8,"C1, C2, C4, C5, C7, C8, C21, C23",CAP CER 1UF 16V 10% X5R 040,1uF,TDK,C1005X5R1C105K050BC,Digi-Key,445-4978-1-ND,N/A,160,N/A,, $0.03800 , $0.76 
5,"C38, C41, C42, C43, C44",CAP CER 2200PF 50V 10% X7R 0402,2.2nF,Taiyo Yuden,UMK105B7222KV-F,Digi-Key,587-1221-1-ND,N/A,100,N/A,, $0.00660 , $0.13 
2,"C32, C35",CAP CER 2.2UF 10V 20% X5R 0402,2.2uF,Taiyo Yuden,LMK105BJ225MV-F,Digi-Key,587-3153-1-ND,N/A,40,N/A,, $0.12800 , $2.56 
6,"R2, R6, R7, R26, R27, R28",RES 2.7K OHM 1/10W 5% 0402 SMD,2.7k,Panasonic,ERJ-2GEJ272X,Digi-Key,P2.7KJCT-ND,N/A,120,N/A,, $0.00131 , $0.03 
2,"C16, C17",CAP CER 22PF 50V 5% NP0 0402,22pF,Murata,GRM1555C1H220JZ01D,Digi-Key,490-1283-1-ND,N/A,40,N/A,, $0.02800 , $0.56 
2,"C30, C33",CAP CER 22UF 6.3V 20% X5R 0603,22uF,TDK,C1608X5R0J226M080AC,Digi-Key,445-8028-1-ND,N/A,40,N/A,, $0.33600 , $6.72 
5,"R3, R4, R5, R16, R18",RES 4.7K OHM 1/10W 1% 0402 SMD,4.7k,Panasonic,ERJ-2RKF4701X,Digi-Key,P4.70KLCT-ND,N/A,100,N/A,, $0.01840 , $0.37 
1,C15,CAP CER 4.7UF 16V 10% X5R 0603,4.7uF,Taiyo Yuden,EMK107ABJ475KA-T,Digi-Key,587-2786-1-ND,N/A,20,N/A,, $0.21600 , $4.32 
1,L1,INDUCTOR MULTILAYER 4.7UH 0603,4.7uH,TDK,MLF1608A4R7K,Digi-Key,445-1021-1-ND,N/A,20,N/A,, $0.17000 , $3.40 
8,"R9, R10, R13, R14, R19, R20, R23, R24",RES 47K OHM 1/10W 1% 0402 SMD,47k,Panasonic,ERJ-2RKF4702X,Digi-Key,P47.0KLCT-ND,N/A,160,N/A,, $0.01840 , $0.37 
1,JP4,24-position SMD ZIF FPC connector,,Molex,51441-2493-C,Digi-Key,Do not populate,N/A,20,N/A,Not to be populated during assembly,, $-   
1,ANT1,Chip Mulitlayer Antenna for 2.4 GHz W-LAN / Bluetooth,,TDK,ANT8030-2R4-01A,Digi-Key,445-3719-1-ND,N/A,20,N/A,, $4.56700 , $91.34 
1,IC10,64-megabit 2.7V Dual-interface DataFlash,,Atmel,AT45DB642D-CNU,Digi-Key,AT45DB642D-CNU-ND,N/A,20,N/A,, $5.81000 , $116.20 
1,IC5,"Low Power, 2.4GHz Transceiver for ZigBee, RF4CE, IEEE 802.15.4, 6LoWPAN, and ISM Applications", ,Atmel,AT86RF233-ZU,Digi-Key,AT86RF233-ZU-ND,N/A,20,N/A,, $4.73000 , $94.60 
2,"IC7, IC8",Dual H-Bridge Motor Driver,,TI,DRV8833RTY,Digi-Key,296-29513-1-ND,N/A,40,N/A,, $2.55440 , $51.09 
1,IC4,"16-bit Digital Signal Controllers (up to 256 KB Flash and 
30 KB SRAM) with Motor Control and Advanced Analog", ,Microchip,DSPIC33FJ128MC706A-I/PT,Digi-Key,DSPIC33FJ128MC706A-H/PT-ND,N/A,20,N/A,, $8.17000 , $163.40 
1,OSC1,3.3V 40MHz subminiature SMD oscillator,,ECS,ECS-2033-400,Digi-Key,XC1437CT-ND,N/A,20,N/A,, $2.87300 , $57.46 
2,"LED2, LED_RX",LED GREEN CLEAR 0603 SMD,,Lite-On,LTST-C190KGKT,Digi-Key,160-1435-1-ND,N/A,40,N/A,, $0.22800 , $4.56 
1,B1,Multilayer Balun Transformers for 2.4GHz W-LAN/Bluetooth,,TDK,HHM1710D1,Digi-Key,445-3246-1-ND,N/A,20,N/A,, $2.18300 , $43.66 
1,IC6,"14MHz, Rail-to-Rail Output, 12nV/Hz, 1.1mA Op Amp",,Linear,LTC6088CDHC,Digi-Key,LTC6088HDHC#PBF-ND,N/A,20,N/A,, $3.42000 , $68.40 
1,IC3,150mA  dual (2.5V/1.8V) voltage regulator,,Micrel,MIC5335-JGYMT,Digi-Key,576-3589-1-ND,N/A,20,N/A,, $1.98000 , $39.60 
1,IC2,150mA dual (3.3V/3.0V) voltage regulator,,Micrel,MIC5335-SPYMT,Digi-Key,576-1949-1-ND,N/A,20,N/A,, $1.98000 , $39.60 
3,"JP1, JP2, JP3",CONN .5MM FPC 6POS RA SMD B-FLIP,,Molex,503480-0600,Digi-Key,WM1387DKR-ND,N/A,60,N/A,, $0.64380 , $12.88 
1,IC9,"MPU-6000 3-axis gyro + 3-axis accelerometer, SPI/I2C interface with auxiliary I2C interface for magnetometer", ,InvenSense,MPU-6000,InvenSense,MPU-6000,N/A,20,N/A,, $15.00000 , $300.00 
1,OSC2,CRYSTAL 16.000000MHZ 10PF SMD,,NDK,NX2520SA-16.000000MHZ,Digi-Key,644-1059-1-ND,N/A,20,N/A,, $1.83900 , $36.78 
2,"LED3, LED_TX",LED SUPER RED CLEAR 0603 SMD,,Lite-On,LTST-C190KRKT,Digi-Key,160-1436-1-ND,N/A,40,N/A,, $0.22800 , $4.56 
1,IC1,3.0V voltage detector,,Torex,XC61GC3002HR-G,Digi-Key,893-1046-1-ND,N/A,20,N/A,, $0.49400 , $9.88 
1,LED1,LED YELLOW CLEAR 0603 SMD,,Lite-On,LTST-C190KSKT,Digi-Key,160-1437-1-ND,N/A,20,N/A,, $0.24800 , $4.96 
