Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment
ANT1,ANT8030-2R4-01A,1746mil,96mil,T,0,ANT8030-2R4-01A
B1,0603-BALUN,1566mil,252mil,T,0,HHM1710D1
C1,0402-CAP,611mil,830mil,B,270,1uF
C2,0402-CAP,474mil,849mil,B,270,1uF
C3,0402-CAP,636mil,65mil,B,270,0.1uF
C4,0402-CAP,622mil,762mil,B,180,1uF
C5,0402-CAP,552mil,696mil,B,90,1uF
C6,0402-CAP,723mil,693mil,B,90,0.1uF
C7,0402-CAP,680mil,849mil,B,270,1uF
C8,0402-CAP,519mil,828mil,B,270,1uF
C9,0402-CAP,876mil,78mil,B,90,0.1uF
C10,0402-CAP,678mil,552mil,B,270,0.1uF
C11,0402-CAP,852mil,660mil,B,90,0.1uF
C12,0402-CAP,654mil,408mil,B,90,0.1uF
C13,0402-CAP,846mil,204mil,B,270,0.1uF
C14,0402-CAP,1128mil,480mil,B,90,0.1uF
C15,0603-CAP,1122mil,372mil,B,270,4.7uF
C16,0402-CAP,1506mil,252mil,T,270,22pF
C17,0402-CAP,1626mil,252mil,T,90,22pF
C18,0402-CAP,1362mil,462mil,B,90,10pF
C19,0402-CAP,1422mil,468mil,B,270,10pF
C20,0402-CAP,1470mil,396mil,B,270,0.1uF
C21,0402-CAP,1389mil,258mil,B,270,1uF
C22,0402-CAP,1668mil,444mil,B,90,0.1uF
C23,0402-CAP,1668mil,534mil,B,90,1uF
C24,0402-CAP,108mil,810mil,B,270,0.1uF
C25,0402-CAP,108mil,630mil,B,90,0.1uF
C26,0402-CAP,555mil,402mil,B,270,0.1uF
C27,0402-CAP,108mil,282mil,B,270,0.1uF
C28,0402-CAP,108mil,102mil,B,90,0.1uF
C29,0402-CAP,342mil,630mil,B,90,0.1uF
C30,0603-CAP,498mil,651mil,B,270,22uF
C31,0402-CAP,390mil,726mil,B,270,10nF
C32,0402-CAP,390mil,813mil,B,90,2.2uF
C33,0603-CAP,492mil,102mil,B,270,22uF
C34,0402-CAP,396mil,93mil,B,90,10nF
C35,0402-CAP,492mil,198mil,B,270,2.2uF
C36,0402-CAP,1812mil,774mil,B,270,0.1uF
C37,0402-CAP,1182mil,660mil,B,90,0.1uF
C38,0402-CAP,1302mil,738mil,B,270,2.2nF
C39,0402-CAP,1143mil,741mil,B,90,0.1uF
C40,0402-CAP,1683mil,750mil,B,90,0.1uF
C41,0402-CAP,558mil,498mil,B,270,2.2nF
C42,0402-CAP,162mil,720mil,B,90,2.2nF
C43,0402-CAP,162mil,192mil,B,270,2.2nF
C44,0402-CAP,522mil,282mil,B,90,2.2nF
IC1,USP-3,765mil,84mil,T,180,XC61GC3002HR-G
IC2,MLF-6,624mil,807mil,T,0,MIC5335-SPYMT
IC3,MLF-6,507mil,822mil,T,0,MIC5335-JGYMT
IC4,TQFP-64,894mil,432mil,T,270,DSPIC33FJ128MC706A
IC5,VQFN-32QN2,1566mil,438mil,T,90,AT86RF233-ZU
IC6,DFN-16,312mil,456mil,T,180,LTC6088
IC7,S-PWQFN-N16,312mil,744mil,T,0,DRV8833RTY
IC8,S-PWQFN-N16,312mil,168mil,T,0,DRV8833RTY
IC9,QFN-24,1224mil,750mil,T,270,MPU-6000
IC10,CASON-8,1557mil,768mil,T,0,AT45DB642D-CNU
JP1,MOLEX_503480-0600,795mil,813mil,T,180,MOLEX_503480-0600
JP2,MOLEX_503480-0600,588mil,102mil,T,0,MOLEX_503480-0600
JP3,MOLEX_503480-0600,1143mil,99mil,B,0,MOLEX_503480-0600
JP4,MOLEX_52740-2490,1866mil,552mil,T,90,DNI
L1,IND-603,846mil,510mil,B,90,4.7uH
LED1,LED-0603,1325mil,57mil,T,270,YELLOW
LED2,LED-0603,1325mil,109mil,T,270,GREEN
LED3,LED-0603,1325mil,162mil,T,270,RED
LED_RX,LED-0603,1452mil,105mil,T,180,GREEN
LED_TX,LED-0603,1503mil,105mil,T,180,RED
OSC1,OSCILLATOR-SMD,906mil,96mil,T,90,ECS-2033-400
OSC2,CRYSTAL-SMD,1338mil,486mil,T,90,NX2520SA-16.000000MHZ
R1,0402-RES,777mil,693mil,B,90,1k
R2,0402-RES,831mil,744mil,B,270,2.7k
R3,0402-RES,928mil,658mil,B,270,4.7k
R4,0402-RES,789mil,324mil,B,90,4.7k
R5,0402-RES,785mil,71mil,B,270,4.7k
R6,0402-RES,1498mil,91mil,B,90,2.7k
R7,0402-RES,1452mil,91mil,B,90,2.7k
R8,0402-RES,438mil,510mil,B,270,15k
R9,0402-RES,216mil,810mil,B,270,47k
R10,0402-RES,162mil,810mil,B,270,47k
R11,0402-RES,384mil,510mil,B,90,15k
R12,0402-RES,216mil,510mil,B,90,15k
R13,0402-RES,162mil,510mil,B,270,47k
R14,0402-RES,162mil,630mil,B,270,47k
R15,0402-RES,300mil,510mil,B,90,15k
R16,0402-RES,498mil,510mil,B,90,4.7k
R17,0402-RES,216mil,402mil,B,270,15k
R18,0402-RES,498mil,402mil,B,90,4.7k
R19,0402-RES,162mil,402mil,B,90,47k
R20,0402-RES,162mil,282mil,B,90,47k
R21,0402-RES,300mil,402mil,B,270,15k
R22,0402-RES,438mil,402mil,B,90,15k
R23,0402-RES,216mil,102mil,B,90,47k
R24,0402-RES,162mil,102mil,B,90,47k
R25,0402-RES,384mil,402mil,B,270,15k
R26,0402-RES,1353mil,63mil,B,270,2.7k
R27,0402-RES,1354mil,146mil,B,90,2.7k
R28,0402-RES,1299mil,150mil,B,270,2.7k
R29,0402-RES,558mil,582mil,B,270,1k
R30,0402-RES,216mil,630mil,B,90,1k
R31,0402-RES,216mil,282mil,B,270,1k
R32,0402-RES,468mil,282mil,B,270,1k
